Variable,pvalue,coef,fdr
GALR1,0.04262233185817433,0.15456484309707622,0.390037314895031
LRRC38,0.009254588816336895,0.17838969063105464,0.26941223477563864
COX6A2,0.016114423590054387,0.15676350555491522,0.3125056678175693
GABRA5,0.012887280932196472,0.18473369559120956,0.3098907479101401
ZNF716,0.04882722127287827,-0.155537363513169,0.4185993674650666
LINC02395,0.030550130243059005,0.1578089779701566,0.36749370403488596
TDRD15,0.029493260353469573,0.1867603560818878,0.3632684991746753
ESPN,0.029788016932323375,0.170263352891295,0.3632684991746753
SHISA6,0.023640528497840024,0.1742779043634852,0.337787098001619
CNTN1,0.01461658869029998,-0.1732680378376415,0.3113232013368736
PTN,0.011258127927298111,-0.19251663461059387,0.2962665244025819
SOX21,0.027323371936448963,0.14872560784896477,0.3513991913476149
LINC01060,0.010803893353497455,0.23449441484885705,0.2962665244025819
CPB1,0.002583403058122725,-0.24813081719697813,0.23426873578843926
OFCC1,0.03882968615224851,0.16055836612641006,0.390037314895031
